time,temperature,humidity,co2
2024-06-01 00:00:00,17.5,82.74,384.8
2024-06-01 00:05:00,17.48,83.24,385.8
2024-06-01 00:10:00,17.42,83.86,385.8
2024-06-01 00:15:00,17.4,83.66,385.2
2024-06-01 00:20:00,17.34,84.16,387.2
2024-06-01 00:25:00,17.3,84.36,387.2
2024-06-01 00:30:00,17.3,84.78,389.6
2024-06-01 00:35:00,17.26,84.84,390.0
2024-06-01 00:40:00,17.2,85.1,392.4
2024-06-01 00:45:00,17.18,85.38,390.6
2024-06-01 00:50:00,17.1,85.64,393.4
2024-06-01 00:55:00,17.1,86.08,395.0
2024-06-01 01:00:00,17.08,86.06,395.2
2024-06-01 01:05:00,17.04,86.26,395.8
2024-06-01 01:10:00,17.0,86.32,397.4
2024-06-01 01:15:00,17.0,86.58,399.0
2024-06-01 01:20:00,17.0,86.88,401.4
2024-06-01 01:25:00,16.98,87.1,401.0
2024-06-01 01:30:00,16.94,87.24,403.0
2024-06-01 01:35:00,16.9,87.36,404.4
2024-06-01 01:40:00,16.9,87.4,406.0
2024-06-01 01:45:00,16.88,87.64,408.2
2024-06-01 01:50:00,16.86,87.54,407.0
2024-06-01 01:55:00,16.88,87.72,409.8
2024-06-01 02:00:00,16.9,88.08,411.8
2024-06-01 02:05:00,16.82,87.98,411.2
2024-06-01 02:10:00,16.84,88.06,412.6
2024-06-01 02:15:00,16.86,88.24,414.4
2024-06-01 02:20:00,16.88,88.18,414.4
2024-06-01 02:25:00,16.9,88.28,418.0
2024-06-01 02:30:00,16.9,88.5,418.8
2024-06-01 02:35:00,16.9,88.58,418.2
2024-06-01 02:40:00,16.9,88.56,421.0
2024-06-01 02:45:00,17.0,88.76,423.8
2024-06-01 02:50:00,17.0,88.88,423.8
2024-06-01 02:55:00,17.0,88.86,424.2
2024-06-01 03:00:00,17.0,88.98,425.8
2024-06-01 03:05:00,17.04,89.14,425.8
2024-06-01 03:10:00,17.08,89.22,428.0
2024-06-01 03:15:00,17.1,89.22,428.4
2024-06-01 03:20:00,17.1,89.24,429.4
2024-06-01 03:25:00,17.1,89.64,431.6
2024-06-01 03:30:00,17.14,89.76,431.6
2024-06-01 03:35:00,17.16,89.86,434.6
2024-06-01 03:40:00,17.18,89.9,435.0
2024-06-01 03:45:00,17.18,90.12,435.4
2024-06-01 03:50:00,17.1,91.08,445.2
2024-06-01 03:55:00,17.02,91.8,450.4
2024-06-01 04:00:00,16.94,92.04,454.4
2024-06-01 04:05:00,16.9,92.3,455.8
2024-06-01 04:10:00,16.82,92.6,457.6
2024-06-01 04:15:00,16.78,92.76,459.2
2024-06-01 04:20:00,16.7,92.82,460.8
2024-06-01 04:25:00,16.7,93.0,463.4
2024-06-01 04:30:00,16.62,93.0,461.8
2024-06-01 04:35:00,16.6,93.2,465.4
2024-06-01 04:40:00,16.52,93.22,466.4
2024-06-01 04:45:00,16.5,93.28,466.0
2024-06-01 04:50:00,16.4,93.3,466.8
2024-06-01 04:55:00,16.4,93.3,468.6
2024-06-01 05:00:00,16.3,93.32,470.4
2024-06-01 05:05:00,16.28,93.42,469.2
2024-06-01 05:10:00,16.2,93.5,471.6
2024-06-01 05:15:00,16.2,93.62,473.2
2024-06-01 05:20:00,16.14,93.52,474.4
2024-06-01 05:25:00,16.1,93.56,473.6
2024-06-01 05:30:00,16.1,93.42,476.2
2024-06-01 05:35:00,16.02,93.32,475.8
2024-06-01 05:40:00,16.0,93.24,475.0
2024-06-01 05:45:00,16.0,93.48,475.2
2024-06-01 05:50:00,16.0,93.78,472.6
2024-06-01 05:55:00,16.08,93.62,471.8
2024-06-01 06:00:00,16.2,93.56,468.0
2024-06-01 06:05:00,16.42,93.14,466.6
2024-06-01 06:10:00,16.58,92.44,463.8
2024-06-01 06:15:00,16.58,90.78,464.8
2024-06-01 06:20:00,16.5,91.12,466.6
2024-06-01 06:25:00,16.52,91.48,466.6
2024-06-01 06:30:00,16.66,91.52,463.4
2024-06-01 06:35:00,16.88,91.1,463.8
2024-06-01 06:40:00,17.14,90.74,463.2
2024-06-01 06:45:00,17.46,90.52,464.0
2024-06-01 06:50:00,17.76,89.68,459.2
2024-06-01 06:55:00,18.1,89.28,458.8
2024-06-01 07:00:00,18.48,88.82,457.4
2024-06-01 07:05:00,18.84,88.32,451.0
2024-06-01 07:10:00,19.12,87.72,448.4
2024-06-01 07:15:00,19.68,87.46,440.8
2024-06-01 07:20:00,20.82,85.06,423.2
2024-06-01 07:25:00,21.68,81.1,407.4
2024-06-01 07:30:00,22.14,78.18,382.8
2024-06-01 07:35:00,22.16,76.94,364.8
2024-06-01 07:40:00,21.94,76.5,354.8
2024-06-01 07:45:00,22.22,74.74,336.6
2024-06-01 07:50:00,22.64,72.52,320.6
2024-06-01 07:55:00,23.04,70.0,313.2
2024-06-01 08:00:00,23.66,66.38,307.6
2024-06-01 08:05:00,24.24,66.08,308.2
2024-06-01 08:10:00,23.4,65.84,314.6
2024-06-01 08:15:00,22.46,70.16,312.0
2024-06-01 08:20:00,23.3,71.58,298.2
2024-06-01 08:25:00,24.54,69.02,291.0
2024-06-01 08:30:00,24.52,65.74,297.4
2024-06-01 08:35:00,23.64,67.7,300.4
2024-06-01 08:40:00,23.34,68.36,303.8
2024-06-01 08:45:00,23.44,70.06,299.8
2024-06-01 08:50:00,23.54,71.46,287.8
2024-06-01 08:55:00,22.86,69.74,303.4
2024-06-01 09:00:00,22.44,70.9,303.0
2024-06-01 09:05:00,22.44,72.32,299.2
2024-06-01 09:10:00,22.34,73.5,295.4
2024-06-01 09:15:00,22.06,72.86,301.2
2024-06-01 09:20:00,21.86,75.46,299.4
2024-06-01 09:25:00,21.8,74.64,301.8
2024-06-01 09:30:00,21.98,75.88,295.2
2024-06-01 09:35:00,22.16,75.72,289.8
2024-06-01 09:40:00,22.2,74.3,290.6
2024-06-01 09:45:00,22.02,77.48,288.8
2024-06-01 09:50:00,21.94,78.7,284.8
2024-06-01 09:55:00,21.9,77.82,286.6
2024-06-01 10:00:00,21.76,78.16,287.8
2024-06-01 10:05:00,21.44,78.66,287.6
2024-06-01 10:10:00,21.12,81.02,286.4
2024-06-01 10:15:00,21.0,82.6,286.0
2024-06-01 10:20:00,21.0,83.94,284.2
2024-06-01 10:25:00,21.06,83.76,283.8
2024-06-01 10:30:00,21.02,84.24,283.2
2024-06-01 10:35:00,21.1,84.6,278.8
2024-06-01 10:40:00,21.26,85.26,274.6
2024-06-01 10:45:00,21.34,84.28,272.8
2024-06-01 10:50:00,21.34,84.68,270.0
2024-06-01 10:55:00,21.16,84.46,273.2
2024-06-01 11:00:00,21.02,84.56,271.6
2024-06-01 11:05:00,20.88,84.18,271.2
2024-06-01 11:10:00,20.9,84.18,267.6
2024-06-01 11:15:00,20.9,84.22,263.4
2024-06-01 11:20:00,20.98,84.56,257.2
2024-06-01 11:25:00,21.4,85.7,245.2
2024-06-01 11:30:00,22.02,85.28,233.6
2024-06-01 11:35:00,22.68,84.14,225.6
2024-06-01 11:40:00,22.9,82.36,228.2
2024-06-01 11:45:00,23.0,81.02,236.6
2024-06-01 11:50:00,23.4,79.52,239.4
2024-06-01 11:55:00,24.1,78.8,238.0
2024-06-01 12:00:00,24.82,79.5,236.4
2024-06-01 12:05:00,25.5,79.34,226.8
2024-06-01 12:10:00,25.94,79.26,224.2
2024-06-01 12:15:00,26.2,77.94,227.0
2024-06-01 12:20:00,26.82,78.48,226.0
2024-06-01 12:25:00,27.54,76.08,225.8
2024-06-01 12:30:00,27.18,74.76,235.4
2024-06-01 12:35:00,26.28,74.18,252.8
2024-06-01 12:40:00,25.86,74.54,259.8
2024-06-01 12:45:00,26.68,75.16,250.6
2024-06-01 12:50:00,28.12,74.04,243.8
2024-06-01 12:55:00,29.66,69.92,246.8
2024-06-01 13:00:00,29.32,65.7,265.0
2024-06-01 13:05:00,27.12,63.0,300.0
2024-06-01 13:10:00,24.94,67.14,313.4
2024-06-01 13:15:00,23.6,72.36,312.0
2024-06-01 13:20:00,23.0,77.84,310.8
2024-06-01 13:25:00,23.66,79.82,295.4
2024-06-01 13:30:00,24.92,75.04,281.8
2024-06-01 13:35:00,24.98,72.88,282.4
2024-06-01 13:40:00,23.82,66.84,302.6
2024-06-01 13:45:00,22.64,69.58,310.0
2024-06-01 13:50:00,22.22,72.4,304.0
2024-06-01 13:55:00,22.68,74.88,289.6
2024-06-01 14:00:00,23.32,75.88,279.6
2024-06-01 14:05:00,23.08,75.76,285.2
2024-06-01 14:10:00,22.5,77.14,286.6
2024-06-01 14:15:00,22.0,77.88,290.4
2024-06-01 14:20:00,21.52,78.24,292.4
2024-06-01 14:25:00,21.14,79.4,292.2
2024-06-01 14:30:00,20.92,80.32,291.4
2024-06-01 14:35:00,20.66,79.86,294.4
2024-06-01 14:40:00,20.24,81.06,297.0
2024-06-01 14:45:00,19.96,83.14,296.4
2024-06-01 14:50:00,19.8,84.38,294.2
2024-06-01 14:55:00,19.58,85.14,296.0
2024-06-01 15:00:00,19.4,86.26,297.4
2024-06-01 15:05:00,19.3,86.96,297.8
2024-06-01 15:10:00,19.3,87.12,297.6
2024-06-01 15:15:00,19.36,87.24,294.6
2024-06-01 15:20:00,19.72,86.88,290.2
2024-06-01 15:25:00,20.38,86.18,278.0
2024-06-01 15:30:00,20.9,85.56,268.6
2024-06-01 15:35:00,21.4,84.38,262.6
2024-06-01 15:40:00,21.92,84.4,253.6
2024-06-01 15:45:00,22.66,83.76,240.0
2024-06-01 15:50:00,23.06,82.8,235.8
2024-06-01 15:55:00,23.22,82.84,228.0
2024-06-01 16:00:00,23.44,82.3,224.2
2024-06-01 16:05:00,23.88,82.7,213.2
2024-06-01 16:10:00,24.02,81.84,208.6
2024-06-01 16:15:00,23.72,80.8,207.4
2024-06-01 16:20:00,23.34,81.08,209.8
2024-06-01 16:25:00,22.8,82.14,209.8
2024-06-01 16:30:00,22.3,84.32,208.6
2024-06-01 16:35:00,21.88,85.62,210.2
2024-06-01 16:40:00,21.6,86.18,206.6
2024-06-01 16:45:00,21.34,86.26,204.4
2024-06-01 16:50:00,21.04,86.4,204.4
2024-06-01 16:55:00,20.8,86.98,204.4
2024-06-01 17:00:00,20.64,87.2,203.4
2024-06-01 17:05:00,20.66,87.46,199.8
2024-06-01 17:10:00,20.82,87.52,195.4
2024-06-01 17:15:00,20.86,87.66,193.4
2024-06-01 17:20:00,20.72,87.58,194.0
2024-06-01 17:25:00,20.48,88.18,196.6
2024-06-01 17:30:00,20.26,88.76,197.2
2024-06-01 17:35:00,20.14,89.3,197.6
2024-06-01 17:40:00,19.98,89.34,198.0
